#Path: /HepData/8872/d3-x1-y1
#Centrality dependence of the charged particle pseudorapidity distribution measured in several centrality intervals for charged particles with $p_{T} > 0$ GeV. The first uncertainty is statistical the #second systematic
#Location: Figure 7 right
#$\sqrt{s_{_{\text{NN}}}}$ in GeV : 5020.0
#$p_{T}$ in GeV above : 0.0
#x : $\eta$
#y : $dN_{ch}/d\eta$ in (60-90)% : $dN_{ch}/d\eta$ in (40-60)% : $dN_{ch}/d\eta$ in (30-40)% : $dN_{ch}/d\eta$ in (20-30)% : $dN_{ch}/d\eta$ in (10-20)% : $dN_{ch}/d\eta$ in (5-10)% : $dN_{ch}/d\eta$ in (1-5)% : $dN_{ch}/d\eta$ in (0-1)%
#xdesc	x	xlow	xhigh	y	dy+	dy-	dy+	dy-	y	dy+	dy-	dy+	dy-	y	dy+	dy-	dy+	dy-	y	dy+	dy-	dy+	dy-	y	dy+	dy-	dy+	dy-	y	dy+	dy-	dy+	dy-	y	dy+	dy-	dy+	dy-	y	dy+	dy-	dy+	dy-	
	-1.45	-1.5	-1.4	9.016	+0.096	-0.096	+0.555	-0.555	18.292	+0.133	-0.133	+0.737	-0.737	24.674	+0.198	-0.198	+0.863	-0.863	29.773	+0.231	-0.231	+0.933	-0.933	36.613	+0.279	-0.279	+1.147	-1.147	44.218	+0.364	-0.364	+1.342	-1.342	53.203	+0.506	-0.506	+1.613	-1.613	69.717	+0.544	-0.544	+2.377	-2.377
	-1.35	-1.4	-1.3	8.975	+0.096	-0.096	+0.548	-0.548	18.125	+0.133	-0.133	+0.726	-0.726	24.552	+0.198	-0.198	+0.854	-0.854	29.457	+0.23	-0.23	+0.918	-0.918	36.275	+0.278	-0.278	+1.131	-1.131	43.759	+0.363	-0.363	+1.322	-1.322	53.042	+0.51	-0.51	+1.601	-1.601	68.356	+0.54	-0.54	+2.311	-2.311
	-1.25	-1.3	-1.2	8.898	+0.095	-0.095	+0.54	-0.54	18.013	+0.132	-0.132	+0.718	-0.718	24.339	+0.197	-0.197	+0.843	-0.843	29.231	+0.229	-0.229	+0.909	-0.909	35.884	+0.278	-0.278	+1.116	-1.116	43.496	+0.362	-0.362	+1.311	-1.311	52.116	+0.503	-0.503	+1.57	-1.57	67.299	+0.532	-0.532	+2.262	-2.262
	-1.15	-1.2	-1.1	8.868	+0.095	-0.095	+0.535	-0.535	17.827	+0.131	-0.131	+0.707	-0.707	24.068	+0.196	-0.196	+0.83	-0.83	29.046	+0.229	-0.229	+0.9	-0.9	35.486	+0.275	-0.275	+1.099	-1.099	42.806	+0.359	-0.359	+1.285	-1.285	51.792	+0.504	-0.504	+1.554	-1.554	66.848	+0.535	-0.535	+2.231	-2.231
	-1.05	-1.1	-1.0	8.825	+0.095	-0.095	+0.527	-0.527	17.725	+0.131	-0.131	+0.692	-0.692	23.834	+0.195	-0.195	+0.807	-0.807	28.584	+0.227	-0.227	+0.867	-0.867	35.233	+0.276	-0.276	+1.069	-1.069	42.27	+0.358	-0.358	+1.242	-1.242	50.974	+0.5	-0.5	+1.496	-1.496	64.957	+0.522	-0.522	+2.114	-2.114
	-0.95	-1.0	-0.9	8.698	+0.094	-0.094	+0.515	-0.515	17.564	+0.13	-0.13	+0.677	-0.677	23.536	+0.193	-0.193	+0.786	-0.786	28.325	+0.226	-0.226	+0.845	-0.845	34.59	+0.272	-0.272	+1.032	-1.032	41.797	+0.356	-0.356	+1.207	-1.207	50.199	+0.497	-0.497	+1.448	-1.448	64.473	+0.521	-0.521	+2.055	-2.055
	-0.8500000000000001	-0.9	-0.8	8.672	+0.094	-0.094	+0.511	-0.511	17.317	+0.129	-0.129	+0.666	-0.666	23.29	+0.192	-0.192	+0.775	-0.775	27.967	+0.224	-0.224	+0.833	-0.833	34.174	+0.27	-0.27	+1.018	-1.018	41.235	+0.353	-0.353	+1.189	-1.189	49.519	+0.491	-0.491	+1.426	-1.426	63.135	+0.513	-0.513	+2.004	-2.004
	-0.75	-0.8	-0.7	8.585	+0.093	-0.093	+0.503	-0.503	17.067	+0.127	-0.127	+0.651	-0.651	23.084	+0.191	-0.191	+0.761	-0.761	27.605	+0.223	-0.223	+0.813	-0.813	33.723	+0.268	-0.268	+0.994	-0.994	40.657	+0.35	-0.35	+1.159	-1.159	48.815	+0.486	-0.486	+1.39	-1.39	62.982	+0.517	-0.517	+1.972	-1.972
	-0.6499999999999999	-0.7	-0.6	8.524	+0.093	-0.093	+0.494	-0.494	16.925	+0.127	-0.127	+0.635	-0.635	22.681	+0.188	-0.188	+0.734	-0.734	27.229	+0.22	-0.22	+0.784	-0.784	33.193	+0.265	-0.265	+0.956	-0.956	39.928	+0.345	-0.345	+1.111	-1.111	48.099	+0.483	-0.483	+1.336	-1.336	61.85	+0.51	-0.51	+1.885	-1.885
	-0.55	-0.6	-0.5	8.456	+0.093	-0.093	+0.49	-0.49	16.781	+0.126	-0.126	+0.631	-0.631	22.498	+0.188	-0.188	+0.731	-0.731	26.995	+0.218	-0.218	+0.782	-0.782	32.891	+0.263	-0.263	+0.953	-0.953	39.271	+0.34	-0.34	+1.101	-1.101	46.757	+0.472	-0.472	+1.308	-1.308	60.648	+0.502	-0.502	+1.859	-1.859
